epoch,accuracy,loss,val_accuracy,val_loss
0,0.8199073076248169,0.5848721265792847,0.8300619721412659,0.4788791835308075
1,0.8421087861061096,0.5210705995559692,0.8492674827575684,0.4428229033946991
2,0.8483352065086365,0.5052807331085205,0.8544562458992004,0.35182616114616394
3,0.8521156311035156,0.4952903389930725,0.8676512241363525,0.31501123309135437
4,0.8545342087745667,0.48697447776794434,0.8671581745147705,0.32390308380126953
5,0.856925368309021,0.48247218132019043,0.8164443969726562,0.44396600127220154
6,0.857019305229187,0.4789714217185974,0.8503944277763367,0.3700418472290039
7,0.8592187166213989,0.47405141592025757,0.8599267601966858,0.33690017461776733
8,0.8590503931045532,0.4728991687297821,0.8377159833908081,0.38698068261146545
9,0.8599896430969238,0.4694657027721405,0.855324923992157,0.35554951429367065
10,0.8608428239822388,0.4665730893611908,0.8646929264068604,0.325984388589859
11,0.8612694144248962,0.4650047719478607,0.8615937232971191,0.3354410231113434
12,0.8615942001342773,0.46278655529022217,0.828465461730957,0.3980346620082855
13,0.8624982237815857,0.46183452010154724,0.8572971224784851,0.34558209776878357
14,0.8617938160896301,0.4636212885379791,0.8533996939659119,0.35696303844451904
15,0.8625569343566895,0.46035996079444885,0.8457221984863281,0.3622203469276428
16,0.8644628524780273,0.45769670605659485,0.8503005504608154,0.3623998165130615
17,0.863899290561676,0.45651957392692566,0.8534936308860779,0.3529185354709625
18,0.8640792965888977,0.4548065662384033,0.8610771894454956,0.3310950994491577
19,0.8645411133766174,0.45482391119003296,0.863237202167511,0.33601853251457214
20,0.8649011254310608,0.4522385597229004,0.8193792104721069,0.4235771596431732
21,0.8650615811347961,0.45305246114730835,0.8498544096946716,0.364711195230484
22,0.8647446036338806,0.4506704807281494,0.8608658909797668,0.3388715088367462
23,0.8651124835014343,0.4504108428955078,0.8592693209648132,0.3365100026130676
24,0.8654177188873291,0.45003676414489746,0.8524840474128723,0.35948023200035095
25,0.8663334846496582,0.4490938186645508,0.8665242195129395,0.3329647183418274
26,0.8671984076499939,0.44666367769241333,0.8644815683364868,0.3214729130268097
27,0.8661417365074158,0.44737717509269714,0.8172661662101746,0.4243035316467285
28,0.8661495447158813,0.44622036814689636,0.8598797917366028,0.34424856305122375
29,0.8669557571411133,0.44581225514411926,0.8624154925346375,0.3354947566986084
30,0.8672336339950562,0.44633617997169495,0.8544327616691589,0.36222782731056213
31,0.8667443990707397,0.4441962242126465,0.8572032451629639,0.35751089453697205
32,0.8675897121429443,0.4442802965641022,0.8354855179786682,0.3986887037754059
33,0.8671709895133972,0.4431787431240082,0.8643407225608826,0.3398435413837433
34,0.8673862218856812,0.4433998465538025,0.8523901104927063,0.36786529421806335
35,0.8680945634841919,0.44405069947242737,0.8587528467178345,0.3527226448059082
36,0.8682041764259338,0.44129616022109985,0.8449004292488098,0.371616393327713
37,0.8683294057846069,0.44114357233047485,0.8543623089790344,0.3577445447444916
38,0.8682863712310791,0.44152939319610596,0.8560292720794678,0.36332595348358154
39,0.867523193359375,0.44035226106643677,0.8487509489059448,0.36774492263793945
